
Changing Workbook
C:/Models/OpenWind/Workbooks/OpenWind_Model.blb
Replaced NREL 5 MW with C:\Python27\NREL-Models\WISDEM\Plant_AEPSE\src\Plant_AEPSE\Openwind\Enterprise/Turbine_Model.owtg
		Total Direction Steps=72	 	 	 	 	 	 	Total Direction Steps=72	 	 	 	 	 	 	
		First Direction Step=0	 	 	 	 	 	 	First Direction Step=0	 	 	 	 	 	 	
		Last Direction Step=71	 	 	 	 	 	 	Last Direction Step=71	 	 	 	 	 	 	
		Direction Offset [degs]=0.000000	 	 	 	 	 	 	Direction Offset [degs]=0.000000	 	 	 	 	 	 	
		First Wind Speed=0.000000	 	 	 	 	 	 	First Wind Speed=0.000000	 	 	 	 	 	 	
		Last Wind Speed=70.000000	 	 	 	 	 	 	Last Wind Speed=70.000000	 	 	 	 	 	 	
		Wind Speed Step=1.000000	 	 	 	 	 	 	Wind Speed Step=1.000000	 	 	 	 	 	 	
		Wake Model=DAWM Eddy-Viscosity	 	 	 	 	 	 	Wake Model=Modified Park	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Site	Index	Gross [kWh]	Net [kWh]	Array Efficiency [%%]	Free Speed [m/s]	Mean Speed [m/s]	Turbulence Intensity [%%]	TI@15 [%%]	Gross [kWh]	Net [kWh]	Array Efficiency [%%]	Free Speed [m/s]	Mean Speed [m/s]	Turbulence Intensity [%%]	TI@15 [%%]	
Site from 3_Zone_1	23	20864586.660126	19517862.892074	93.545419	8.568452	8.218261	11.243846	11.421864	20864586.660126	19517862.892074	93.545419	8.568452	8.218261	11.243846	11.421864	
Site from 3_Zone_1	24	20966482.240984	19649679.189989	93.719501	8.596496	8.252969	11.164506	11.343408	20966482.240984	19649679.189989	93.719501	8.596496	8.252969	11.164506	11.343408	
Site from 3_Zone_1	25	20884156.766213	19414382.082648	92.962264	8.573830	8.190632	11.340878	11.535026	20884156.766213	19414382.082648	92.962264	8.573830	8.190632	11.340878	11.535026	
Site from 3_Zone_1	26	20979355.780074	19880587.904261	94.762640	8.600046	8.311227	10.811231	10.934484	20979355.780074	19880587.904261	94.762640	8.600046	8.311227	10.811231	10.934484	
Site from 3_Zone_1	27	20903126.898549	19290372.023142	92.284639	8.579047	8.157871	11.442847	11.649227	20903126.898549	19290372.023142	92.284639	8.579047	8.157871	11.442847	11.649227	
Site from 3_Zone_1	28	20921514.778803	19278377.646745	92.146202	8.584108	8.154484	11.454354	11.668308	20921514.778803	19278377.646745	92.146202	8.584108	8.154484	11.454354	11.668308	
Site from 3_Zone_1	29	20939079.802939	19271010.565010	92.033722	8.588945	8.152140	11.447425	11.658400	20939079.802939	19271010.565010	92.033722	8.588945	8.152140	11.447425	11.658400	
Site from 3_Zone_1	30	21033523.961210	20332742.903639	96.668281	8.615000	8.431282	10.478550	10.562127	21033523.961210	20332742.903639	96.668281	8.615000	8.431282	10.478550	10.562127	
Site from 3_Zone_1	31	20955426.783772	19301982.589147	92.109728	8.593449	8.160576	11.438483	11.643228	20955426.783772	19301982.589147	92.109728	8.593449	8.160576	11.438483	11.643228	
Site from 3_Zone_1	32	21018215.178889	20184572.199181	96.033731	8.610773	8.391137	10.557950	10.651986	21018215.178889	20184572.199181	96.033731	8.610773	8.391137	10.557950	10.651986	
